Title,Language,Type,Link
RNN for character level generation (D2L 8.5),PyTorch,d2lbook,rnn_torch.ipynb
GRUs (D2L 9.1),PyTorch,d2lbook,gru_torch.ipynb
LSTMs (D2L 9.2),PyTorch,d2lbook,lstm_torch.ipynb
NMT using RNN (D2L 9.7),PyTorch,d2lbook,nmt_torch.ipynb
Attention (D2L 10.3),PyTorch,d2lbook,attention_torch.ipynb
NMT with RNN and attention (D2L 10.4),PyTorch,d2lbook,nmt_attention_torch.ipynb
NMT using transformers (D2L 10.7),PyTorch,d2lbook,transformers_torch.ipynb
BERT (D2L 14.8),PyTorch,d2lbook,bert_torch.ipynb
RNN for sentiment classification (D2L 15.2),PyTorch,d2lbook,rnn_sentiment_torch.ipynb
1d CNN for sentiment classification (D2L 15.3),PyTorch,d2lbook,cnn1d_sentiment_torch.ipynb
Entailment classification using MLP with attention (D2L 15.5),PyTorch,d2lbook,entailment_attention_mlp_torch.ipynb
RNN for sentiment classification,TF2,External,https://www.tensorflow.org/tutorials/text/text_classification_rnn
RNN for character level generation,TF2,External,https://www.tensorflow.org/tutorials/text/text_generation
RNN for time series forecasting,TF2,External,https://www.tensorflow.org/tutorials/structured_data/time_series
RNN for image captioning,TF2,External,https://www.tensorflow.org/tutorials/text/image_captioning
NMT using RNN with attention,TF2,External,https://www.tensorflow.org/tutorials/text/nmt_with_attention
NMT using transformers,TF2,External,https://www.tensorflow.org/tutorials/text/transformer
